Stock Name,Symbol,Shares,Purchase Price ($),Cost Basis ($),Current Price ($),Market Value ($),Gain/Loss ($),Dividend/share,Annual Yield (%)
Apple,AAPL,100,90,9000,144.13,14413.27,14269.14,2.28,1.58
Microsoft,MSFT,200,32,6400,65.57,13114.14,13048.57,1.56,2.38
SalesForce,CRM,150,25,3750,82.57,12385.5,12302.93,0,0
Oracle,ORCL,250,50,12500,44.56,11138.75,11094.2,0.64,1.44
Hewlett Packard Enterprise,HPE,500,18,9000,17.69,8842.5,8824.82,0.26,1.47
Alphabet,GOOG,100,225,22500,833.36,83336,82502.64,0,0
Intel,INTC,200,22,4400,36.07,7213,7176.94,1.09,3.02
Cisco,CSCO,225,18,4050,33.24,7478.78,7445.54,1.16,3.49
Qualcomm,QCOM,185,65,12025,56.48,10447.88,10391.4,2.12,3.75
Amazon,AMZN,50,800,40000,897.64,44882,43984.14,0,0
Redhat,RHT,100,95,9500,86.26,8626,8539.74,0,0
Facebook,FB,1000,17,1700,141.64,141640,141498.36,0,0
Twitter,TWTR,500,45,22500,14.61,7302.55,7287.94,0,0
